ID,Name,Credit Hours
ARBC 2821,Special Topics,2
ARBC 2823,Special Topics,3
ARBC 2833,Special Topics,3
ARBC 2XXX,Arabic Elective,1
ARBC 3001,Advanced Arabic I,3
ARBC 3002,Advanced Arabic II,3
ARBC 3501,Men-Women In Islam,3
ARBC 3691,Intensive Advanced Arabic,3
ARBC 3692,Arabic for Business and Technology I,3
ARBC 3693,Arabic for Business and Technology II,3
ARBC 3811,Special Topics,1
ARBC 3812,Special Topics,2
ARBC 3813,Special Topics,3
ARBC 3823,Special Topics,3
ARBC 3833,Special Topics,3
ARBC 3XXX,Arabic Elective,1
ARBC 4698,Research Assistantship,1
ARBC 4699,Undergraduate Research,1
ARBC 4813,Special Topics,3
ARBC 4823,Special Topics,3
ARBC 4833,Special Topics,3
ARBC 4901,Special Problems,1
ARBC 4902,Special Problems,1
ARBC 4XXX,Arabic Elective,1
ARCH 1009,Fundamentals of Architectural Design I,4
ARCH 1010,Fundamentals of Architectural Design II,4
ARCH 1016,Foundation Studio 1,4
ARCH 1017,Architecture Design Studio 1,5
ARCH 1020,Media + Modeling 1,3
ARCH 1060,Introduction to Design and the Built Environment,3
ARCH 1854,Special Topics,4
ARCH 1XXX,Architecture Elective,1
ARCH 2011,Architectural Design I,4
ARCH 2012,Architectural Design II,4
ARCH 2016,Architecture Design Studio 2,5
ARCH 2017,Architecture Design Studio 3,5
ARCH 2020,Media + Modeling 2,3
ARCH 2111,History of Architecture I,3
ARCH 2112,History of Architecture II,3
ARCH 2115,"Modern Architecture and Art in Europe, America and Australia: Nineteenth and Twentieth Centuries",3
ARCH 2211,Construction Technology and Design Integration I,3
ARCH 2472,Architecture Modeling & Media 2,3
ARCH 2474,Architecture Modeling & Media 3,3
ARCH 2698,Undergraduate Research Assistantship,1
ARCH 2699,Undergraduate Research,1
ARCH 2803,Special Topics,3
ARCH 2854,Special Topics,4
ARCH 2XXX,Architecture Elective,1
ARCH 3007,Art & Architecture in Greece,3
ARCH 3008,Art & Architecture in Italy I,3
ARCH 3009,Art & Architecture in Italy II,3
ARCH 3010,Design Strategies,3
ARCH 3011,"Architectural Design IV, V, VI",5
ARCH 3012,"Architectural Design IV, V, VI",5
ARCH 3016,Architecture Design Studio 4,5
ARCH 3017,Architecture Design Studio 5,5
ARCH 3115,Modern Arch and Art Workshop,3
ARCH 3135,City Literacy,3
ARCH 3231,Environmental Systems and Design Integration I,3
ARCH 3241,Fundamentals of Structures,3
ARCH 3404,Architectural Design Studio III,4
ARCH 3405,Architectural Design Studio IV,4
ARCH 3855,Special Topics,5
ARCH 3XXX,Architecture Elective,1
ARCH 4011,Architectural Design Studio V,5
ARCH 4012,Architectural Design Studio VI,5
ARCH 4015,Structures 1,3
ARCH 4016,Architecture Design Studio 6,5
ARCH 4017,Architecture Design Studio 7,6
ARCH 4025,Structures 2,3
ARCH 4107,Introduction to Historic Preservation,3
ARCH 4109,Architecture and Minimalism,3
ARCH 4110,Public Space: Questions and Configurations,3
ARCH 4112,Architecture in Georgia,3
ARCH 4113,History of Renaissance and Mannerist Architecture,3
ARCH 4114,Medieval Architecture,3
ARCH 4115,Introduction to Principles of Classical Design,3
ARCH 4117,Architecture and the Arts and Crafts Movement,3
ARCH 4118,American Academic Architecture,3
ARCH 4119,Architecture of Frank Lloyd Wright,3
ARCH 4120,Atlanta Architecture,3
ARCH 4123,European Modernism,3
ARCH 4124,History of Architecture in the United States,3
ARCH 4125,French Architecture from Ledoux to LeCorbusier,3
ARCH 4126,Paris Urban History,3
ARCH 4127,Introduction to Art and Architecture in Italy,1
ARCH 4128,"Barcelona:  Architecture, Urban Design, Public Space",3
ARCH 4129,Form and Narrative: Cross Media Analysis,3
ARCH 4133,Architecture and Discourse of the Everyday,3
ARCH 4137,Postwar Architecture and Urbanism in the U,:
ARCH 4140,Modern and Contemporary Architectual Theory and Criticism,3
ARCH 4142,Dwelling: Histories and Theories of Enviornmental Behavior and Design,3
ARCH 4143,"Museums: History, Theory, Design",3
ARCH 4151,History of Urban Form,3
ARCH 4220,Construction Technology and Design Integration II,3
ARCH 4225,Reinvestigating the Detail: The Ornamental and the Everyday,3
ARCH 4226,Green Construction,3
ARCH 4227,Architecture and Ecology,3
ARCH 4231,Environmental Systems and Design Integration II,3
ARCH 4232,On Growth and Form,3
ARCH 4240,Building Simulation in Design Practice,3
ARCH 4251,Architectural Structures and Design Integration I,3
ARCH 4252,Architectural Structures and Design Integration II,3
ARCH 4253,Advanced Structures Seminar,3
ARCH 4303,Programming and Building Evaluation,3
ARCH 4305,"Near and Far: Cross-Cultural Practices in Art, Architecture and Design",3
ARCH 4310,How do we dwell?,3
ARCH 4315,Professional Practice of Architecture,3
ARCH 4316,Traditions of Architectural Practice,3
ARCH 4320,Retrofitting Suburbia,3
ARCH 4330,Understanding Clients and Users: Methods for Programming and Evaluation,3
ARCH 4334,Housing and Culture,3
ARCH 4335,The Social Practice of Architecture,3
ARCH 4350,Architectural Theory,3
ARCH 4404,Architectural Design Studio V,4
ARCH 4405,Architectural Design Studio VI,4
ARCH 4411,Introduction to Visual Arts,3
